storm_id,storm_name,timestamp,timecode,lat,lon,m1_combined,m1_c13,m2_combined,m2_c13
2021al05,Hurricane Elsa,2021-06-30 20:00:00,2021181200,9.53,-43.40,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/20/OR_ABI-L2-MCMIPM1-M6_G16_s2021181200,s3://noaa-goes16/ABI-L1b-RadM/2021/181/20/OR_ABI-L1b-RadM1-M6C13_G16_s2021181200,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/20/OR_ABI-L2-MCMIPM2-M6_G16_s2021181200,s3://noaa-goes16/ABI-L1b-RadM/2021/181/20/OR_ABI-L1b-RadM2-M6C13_G16_s2021181200
2021al05,Hurricane Elsa,2021-06-30 20:30:00,2021181203,9.57,-43.55,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/20/OR_ABI-L2-MCMIPM1-M6_G16_s2021181203,s3://noaa-goes16/ABI-L1b-RadM/2021/181/20/OR_ABI-L1b-RadM1-M6C13_G16_s2021181203,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/20/OR_ABI-L2-MCMIPM2-M6_G16_s2021181203,s3://noaa-goes16/ABI-L1b-RadM/2021/181/20/OR_ABI-L1b-RadM2-M6C13_G16_s2021181203
2021al05,Hurricane Elsa,2021-06-30 21:00:00,2021181210,9.60,-43.70,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/21/OR_ABI-L2-MCMIPM1-M6_G16_s2021181210,s3://noaa-goes16/ABI-L1b-RadM/2021/181/21/OR_ABI-L1b-RadM1-M6C13_G16_s2021181210,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/21/OR_ABI-L2-MCMIPM2-M6_G16_s2021181210,s3://noaa-goes16/ABI-L1b-RadM/2021/181/21/OR_ABI-L1b-RadM2-M6C13_G16_s2021181210
2021al05,Hurricane Elsa,2021-06-30 21:30:00,2021181213,9.63,-43.85,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/21/OR_ABI-L2-MCMIPM1-M6_G16_s2021181213,s3://noaa-goes16/ABI-L1b-RadM/2021/181/21/OR_ABI-L1b-RadM1-M6C13_G16_s2021181213,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/21/OR_ABI-L2-MCMIPM2-M6_G16_s2021181213,s3://noaa-goes16/ABI-L1b-RadM/2021/181/21/OR_ABI-L1b-RadM2-M6C13_G16_s2021181213
2021al05,Hurricane Elsa,2021-06-30 22:00:00,2021181220,9.67,-44.01,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/22/OR_ABI-L2-MCMIPM1-M6_G16_s2021181220,s3://noaa-goes16/ABI-L1b-RadM/2021/181/22/OR_ABI-L1b-RadM1-M6C13_G16_s2021181220,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/22/OR_ABI-L2-MCMIPM2-M6_G16_s2021181220,s3://noaa-goes16/ABI-L1b-RadM/2021/181/22/OR_ABI-L1b-RadM2-M6C13_G16_s2021181220
2021al05,Hurricane Elsa,2021-06-30 22:30:00,2021181223,9.70,-44.16,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/22/OR_ABI-L2-MCMIPM1-M6_G16_s2021181223,s3://noaa-goes16/ABI-L1b-RadM/2021/181/22/OR_ABI-L1b-RadM1-M6C13_G16_s2021181223,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/22/OR_ABI-L2-MCMIPM2-M6_G16_s2021181223,s3://noaa-goes16/ABI-L1b-RadM/2021/181/22/OR_ABI-L1b-RadM2-M6C13_G16_s2021181223
2021al05,Hurricane Elsa,2021-06-30 23:00:00,2021181230,9.73,-44.32,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/23/OR_ABI-L2-MCMIPM1-M6_G16_s2021181230,s3://noaa-goes16/ABI-L1b-RadM/2021/181/23/OR_ABI-L1b-RadM1-M6C13_G16_s2021181230,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/23/OR_ABI-L2-MCMIPM2-M6_G16_s2021181230,s3://noaa-goes16/ABI-L1b-RadM/2021/181/23/OR_ABI-L1b-RadM2-M6C13_G16_s2021181230
2021al05,Hurricane Elsa,2021-06-30 23:30:00,2021181233,9.77,-44.47,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/23/OR_ABI-L2-MCMIPM1-M6_G16_s2021181233,s3://noaa-goes16/ABI-L1b-RadM/2021/181/23/OR_ABI-L1b-RadM1-M6C13_G16_s2021181233,s3://noaa-goes16/ABI-L2-MCMIPM/2021/181/23/OR_ABI-L2-MCMIPM2-M6_G16_s2021181233,s3://noaa-goes16/ABI-L1b-RadM/2021/181/23/OR_ABI-L1b-RadM2-M6C13_G16_s2021181233
2021al05,Hurricane Elsa,2021-07-01 00:00:00,2021182000,9.80,-44.63,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/00/OR_ABI-L2-MCMIPM1-M6_G16_s2021182000,s3://noaa-goes16/ABI-L1b-RadM/2021/182/00/OR_ABI-L1b-RadM1-M6C13_G16_s2021182000,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/00/OR_ABI-L2-MCMIPM2-M6_G16_s2021182000,s3://noaa-goes16/ABI-L1b-RadM/2021/182/00/OR_ABI-L1b-RadM2-M6C13_G16_s2021182000
2021al05,Hurricane Elsa,2021-07-01 00:30:00,2021182003,9.83,-44.79,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/00/OR_ABI-L2-MCMIPM1-M6_G16_s2021182003,s3://noaa-goes16/ABI-L1b-RadM/2021/182/00/OR_ABI-L1b-RadM1-M6C13_G16_s2021182003,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/00/OR_ABI-L2-MCMIPM2-M6_G16_s2021182003,s3://noaa-goes16/ABI-L1b-RadM/2021/182/00/OR_ABI-L1b-RadM2-M6C13_G16_s2021182003
2021al05,Hurricane Elsa,2021-07-01 01:00:00,2021182010,9.87,-44.95,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/01/OR_ABI-L2-MCMIPM1-M6_G16_s2021182010,s3://noaa-goes16/ABI-L1b-RadM/2021/182/01/OR_ABI-L1b-RadM1-M6C13_G16_s2021182010,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/01/OR_ABI-L2-MCMIPM2-M6_G16_s2021182010,s3://noaa-goes16/ABI-L1b-RadM/2021/182/01/OR_ABI-L1b-RadM2-M6C13_G16_s2021182010
2021al05,Hurricane Elsa,2021-07-01 01:30:00,2021182013,9.68,-45.89,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/01/OR_ABI-L2-MCMIPM1-M6_G16_s2021182013,s3://noaa-goes16/ABI-L1b-RadM/2021/182/01/OR_ABI-L1b-RadM1-M6C13_G16_s2021182013,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/01/OR_ABI-L2-MCMIPM2-M6_G16_s2021182013,s3://noaa-goes16/ABI-L1b-RadM/2021/182/01/OR_ABI-L1b-RadM2-M6C13_G16_s2021182013
2021al05,Hurricane Elsa,2021-07-01 02:00:00,2021182020,9.57,-45.98,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/02/OR_ABI-L2-MCMIPM1-M6_G16_s2021182020,s3://noaa-goes16/ABI-L1b-RadM/2021/182/02/OR_ABI-L1b-RadM1-M6C13_G16_s2021182020,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/02/OR_ABI-L2-MCMIPM2-M6_G16_s2021182020,s3://noaa-goes16/ABI-L1b-RadM/2021/182/02/OR_ABI-L1b-RadM2-M6C13_G16_s2021182020
2021al05,Hurricane Elsa,2021-07-01 02:30:00,2021182023,9.58,-46.14,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/02/OR_ABI-L2-MCMIPM1-M6_G16_s2021182023,s3://noaa-goes16/ABI-L1b-RadM/2021/182/02/OR_ABI-L1b-RadM1-M6C13_G16_s2021182023,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/02/OR_ABI-L2-MCMIPM2-M6_G16_s2021182023,s3://noaa-goes16/ABI-L1b-RadM/2021/182/02/OR_ABI-L1b-RadM2-M6C13_G16_s2021182023
2021al05,Hurricane Elsa,2021-07-01 03:00:00,2021182030,9.60,-46.30,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/03/OR_ABI-L2-MCMIPM1-M6_G16_s2021182030,s3://noaa-goes16/ABI-L1b-RadM/2021/182/03/OR_ABI-L1b-RadM1-M6C13_G16_s2021182030,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/03/OR_ABI-L2-MCMIPM2-M6_G16_s2021182030,s3://noaa-goes16/ABI-L1b-RadM/2021/182/03/OR_ABI-L1b-RadM2-M6C13_G16_s2021182030
2021al05,Hurricane Elsa,2021-07-01 03:30:00,2021182033,9.62,-46.46,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/03/OR_ABI-L2-MCMIPM1-M6_G16_s2021182033,s3://noaa-goes16/ABI-L1b-RadM/2021/182/03/OR_ABI-L1b-RadM1-M6C13_G16_s2021182033,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/03/OR_ABI-L2-MCMIPM2-M6_G16_s2021182033,s3://noaa-goes16/ABI-L1b-RadM/2021/182/03/OR_ABI-L1b-RadM2-M6C13_G16_s2021182033
2021al05,Hurricane Elsa,2021-07-01 04:00:00,2021182040,9.65,-46.63,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/04/OR_ABI-L2-MCMIPM1-M6_G16_s2021182040,s3://noaa-goes16/ABI-L1b-RadM/2021/182/04/OR_ABI-L1b-RadM1-M6C13_G16_s2021182040,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/04/OR_ABI-L2-MCMIPM2-M6_G16_s2021182040,s3://noaa-goes16/ABI-L1b-RadM/2021/182/04/OR_ABI-L1b-RadM2-M6C13_G16_s2021182040
2021al05,Hurricane Elsa,2021-07-01 04:30:00,2021182043,9.68,-46.80,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/04/OR_ABI-L2-MCMIPM1-M6_G16_s2021182043,s3://noaa-goes16/ABI-L1b-RadM/2021/182/04/OR_ABI-L1b-RadM1-M6C13_G16_s2021182043,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/04/OR_ABI-L2-MCMIPM2-M6_G16_s2021182043,s3://noaa-goes16/ABI-L1b-RadM/2021/182/04/OR_ABI-L1b-RadM2-M6C13_G16_s2021182043
2021al05,Hurricane Elsa,2021-07-01 05:00:00,2021182050,9.72,-46.97,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/05/OR_ABI-L2-MCMIPM1-M6_G16_s2021182050,s3://noaa-goes16/ABI-L1b-RadM/2021/182/05/OR_ABI-L1b-RadM1-M6C13_G16_s2021182050,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/05/OR_ABI-L2-MCMIPM2-M6_G16_s2021182050,s3://noaa-goes16/ABI-L1b-RadM/2021/182/05/OR_ABI-L1b-RadM2-M6C13_G16_s2021182050
2021al05,Hurricane Elsa,2021-07-01 05:30:00,2021182053,9.76,-47.15,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/05/OR_ABI-L2-MCMIPM1-M6_G16_s2021182053,s3://noaa-goes16/ABI-L1b-RadM/2021/182/05/OR_ABI-L1b-RadM1-M6C13_G16_s2021182053,s3://noaa-goes16/ABI-L2-MCMIPM/2021/182/05/OR_ABI-L2-MCMIPM2-M6_G16_s2021182053,s3://noaa-goes16/ABI-L1b-RadM/2021/182/05/OR_ABI-L1b-RadM2-M6C13_G16_s2021182053
